title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink,parss_district,parss_county,parss_party,parss_personal_history,parss_occupation,parss_parents,parss_education,parss_career,parss_other_boards_committees_commissions,parss_military_service,parss_district_1_street1,parss_district_1_street2,parss_district_1_citystatezip,parss_district_1_phone,parss_district_2_street1,parss_district_2_street2,parss_district_2_citystatezip,parss_district_2_phone,parss_district_3_street1,parss_district_3_street2,parss_district_3_citystatezip,parss_district_3_phone,parss_capitoladdress_street1,parss_capitoladdress_street2,parss_capitoladdress_citystatezip,parss_capitoladdress_phone,parss_imagesrc,parss_memberelect,parss_vacant
GENE YAW,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'GENE YAW'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1186'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1186,"District 23; Last Updated: Thursday, January 19, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 23; Last Updated: Thursday, January 19, 2023'}","Thu, 19 Jan 2023 09:13:35 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=19, tm_hour=9, tm_min=13, tm_sec=35, tm_wday=3, tm_yday=19, tm_isdst=0)",Senate_23_20230119_091335,False,23,"Bradford County (Part), Lycoming County (Part), Sullivan County, Tioga County and Union County (Part)",R,Married to Ann S. Pepperman of Williamsport,State Senator,Emerson A. and Harriet Yaw (both deceased),"Bucknell University 1961-63; graduated Lycoming College, B.A., 1970; American University School of Law, J.D., 1973","Prior to running for the Senate, Yaw served as Lycoming County solicitor for 17 years and was named County Solicitor of the Year in 2004. He has also served as general counsel to the Pennsylvania College of Technology for more than 20 years. In 2013, he was elected Chairman of the Pennsylvania College of Technology Board of Directors. Senator Yaw serves as Chairman of the Environmental Resources and Energy Committee. <br /><br />He is also Vice Chairman of the Senate Judiciary Committee, and a member of the Agriculture & Rural Affairs, Banking & Insurance, Community, Economic & Recreational Development, Rules & Executive Nominations and the Majority Policy Committees. <br /><br />Senator Yaw serves on a number of Boards and Commissions including as Chairman of the Center for Rural Pennsylvania, a member of the Chesapeake Bay Commission, a member of the Environmental Quality Board, a member of the Pennsylvania Aggregate Advisory Board, a member of the Pennsylvania Energy Development Authority and a member of the Joint Legislative Air and Water Pollution Control And Conservation Committee. <br /><br />Senator Yaw is a member of the Lycoming Law Association and Pennsylvania Bar Association, Pennsylvania Association for Justice, and a former member of the Board of Directors of Susquehanna Legal Services. He serves as ""Of Counsel"" with the McCormick Law Firm in Williamsport, a prominent firm which has been in continuous existence for 150 years. A U.S. Army veteran, Yaw enlisted and went on to graduate from the United States Artillery and Missile Officer Candidate School in Fort Sill, Oklahoma. He served an overseas tour of duty as an artillery officer and was honorably discharged as a 1st Lieutenant. Senator Yaw has coached Little League Baseball, and coached and refereed for the American Youth Soccer Organization. He is a member of the National Rifle Association, Ducks Unlimited, the Nittany Lion Club, and the Williamsport-Lycoming Chamber of Commerce. He received the 2010 Distinguished Citizen of the Year Award from the Susquehanna Council, Boy Scouts of America, the 2011 Lycoming College Alumni of the Year Award, the 2011 CAPPA Community Partner Award, the Central Pennsylvania State of Israel Bonds 2012 Israel Unity Award, the 2013 Pennsylvania Winery Association Industry Supporter Award, the 2014 Pennsylvania College of Technology Centennial Leadership Award, the 2015 Pennsylvania Office of Rural Health Legislator of the Year Award and the 2019 Pennsylvania Water Environment Association Public Official of the Year Award.",,U.S. Army 1964-68,175 Pine Street,Suite 105,"Williamsport, PA 17701",(570) 322-6457,5 Main Street,,"Wellsboro, PA 16901",(570) 724-5231,,,,,362 Main Capitol,,"Harrisburg, PA 171203023",(717) 787-3280,https://www.legis.state.pa.us/images/members/200/1186.jpg,,false
TRACY PENNYCUICK,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'TRACY PENNYCUICK'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1912'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1912,"District 24; Last Updated: Friday, March 3, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 24; Last Updated: Friday, March 3, 2023'}","Fri, 03 Mar 2023 11:01:19 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=3, tm_hour=11, tm_min=1, tm_sec=19, tm_wday=4, tm_yday=62, tm_isdst=0)",Senate_24_20230303_110119,False,24,Berks County (Part) and Montgomery County (Part),R,Married to Rick Pennycuick,Retired Military: Helicopter Pilot and Small Business Owner,,"Mansfield High School, 1983<br />University of Missouri, Columbia MO, 1987, BSBA<br />Post University, Waterbury, CT 2015, MPA<br />US Army Command & General Staff College, 2008",,,"US Army 1984 - 2010 retired, Lieutenant Colonel",56 W. 4th Street,Floor 2,"Red Hill, PA 18076",(215) 541-2388,,,,,,,,,16 East Wing,,"Harrisburg, PA 17120",(717) 787-3110,https://www.legis.state.pa.us/images/members/200/1912.jpg,,false
CRIS DUSH,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'CRIS DUSH'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1687'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1687,"District 25; Last Updated: Tuesday, February 28, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 25; Last Updated: Tuesday, February 28, 2023'}","Tue, 28 Feb 2023 16:23:22 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=28, tm_hour=16, tm_min=23, tm_sec=22, tm_wday=1, tm_yday=59, tm_isdst=0)",Senate_25_20230228_042322,False,25,"Cameron County, Centre County (Part), Clinton County, Elk County, Jefferson County, Mckean County and Potter County",R,Married to Traci Dush,Legislator,,"Brookville Area High School<br />Community College of the Air Force, AAS Degree in Criminal Justice<br />Clarion State College<br />University of Louisville<br />Southern Illinois Carbondale<br />Alan Hancock College<br />U.S. Air Force Non-Commissioned Officer Academy","In November 2020, voters elected Senator Cris Dush to represent the 25th Senatorial District, which included Cameron, Clinton, Elk, Jefferson, McKean, Potter and Tioga Counties and portions of Clearfield County. Due to Dec. 1, 2022 redistricting, he now represents, Cameron, Clinton, Elk, McKean, Potter and Part of Jefferson and Centre Counties. Prior to his election to the state Senate, Cris served as a member of the Pennsylvania House of Representatives for six years, representing the 66th Legislative District. <br /><br />His priorities as state senator include reducing government spending and over-regulation, working to balance budgets, and fighting against tax increases. He is a strong supporter of 2nd amendment rights and will work to protect the constitutional rights of Pennsylvanians, to protect the freedoms they enjoy. <br /><br />For the 2023-24 Legislative Session, Sen. Dush will be the chairman of the State Government Committee and vice chair of the Intergovernmental Operations Committee. He will also be a member of five other committees: Appropriations; Game and Fisheries; Judiciary; Local Government; and Veterans Affairs and Emergency Preparedness. <br /><br />A native of Brookville, Cris graduated from Brookville Area High School in 1979 and attended Clarion State College before enlisting in the U.S. Air Force. While serving in the Air Force, Cris held positions as a law enforcement specialist, law enforcement patrolman, flight chief (shift leader), Hostage Negotiation Team Chief, Anti-Terrorism Program Manager and Resource Protection Technical Consultant to the U.S. Department of Defense and NASA. <br /><br />In 1995, Cris returned to the Brookville area to begin 16 years of service with the Pennsylvania Department of Corrections. He retired as a corrections officer in January 2012. <br /><br />In 2000, Cris enlisted with the 193rd Special Operations Wing of the Pennsylvania Air National Guard as a Security Forces member and received numerous awards in the performance of his duties. He was deployed in Operation Iraqi Freedom, Operation Noble Eagle and on the American border in New Mexico. He also served on the staff with the Air Force Special Operations Command. <br /><br />Cris also served as the Chief of Information Protection, responsible for safeguarding the classified information programs at the Pennsylvania Air National Guard headquarters and units throughout the Commonwealth. In December 2016, Cris retired from the 193rd as a Senior Non-Commissioned Officer (NCO). <br /><br />Cris resides in Pine Creek Township with his wife Traci in Jefferson County.",,U.S. Air Force 1982-1990<br /><br />Pennsylvania Air National Guard 2000 - 2016,Temporarily by appointment only,301 N. Spring Street,"Bellefonte, PA 16823",(814) 355-0477,"73 S. White Street, Suite 5",,"Brookville, PA 15825",(814) 646-7272,(Opening Soon),601 W. Main St.,"Smethport, PA 16749",(814) 734-2785,9 East Wing,,"Harrisburg, PA 17120",(717) 787-7084,https://www.legis.state.pa.us/images/members/200/1687.jpg,,false
TIMOTHY P. KEARNEY,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'TIMOTHY P. KEARNEY'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1800'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1800,"District 26; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 26; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:22:37 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=22, tm_sec=37, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_26_20230105_092237,False,26,Delaware County (Part),D,,State Senator,,,,,,130 S. State Road,Suite 101,"Springfield, PA 19064",(610) 544-6120,51 Long Lane,,"Upper Darby, PA 19082",(610) 352-3409,,,,,463 Main Capitol,,"Harrisburg, PA 17120",(717) 787-1350,https://www.legis.state.pa.us/images/members/200/1800.jpg,,false
LYNDA SCHLEGEL CULVER,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'LYNDA SCHLEGEL CULVER'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1202'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1202,"District 27; Last Updated: Tuesday, February 28, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 27; Last Updated: Tuesday, February 28, 2023'}","Tue, 28 Feb 2023 13:40:11 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=28, tm_hour=13, tm_min=40, tm_sec=11, tm_wday=1, tm_yday=59, tm_isdst=0)",Senate_27_20230228_014011,False,27,"Columbia County, Luzerne County (Part), Montour County, Northumberland County (Part) and Snyder County",R,Married to Thomas,Legislator,,"Shikellamy High School, 1987<br />Bloomsburg University, B.A., Political Science, 1991","State Senator Lynda Schlegel Culver was elected to serve the residents of the 27th District in a special election in January 2023. She replaced former Senator John Gordner, who stepped down to accept a position in the office of Pennsylvania's first female Senate President Pro Tempore Kim Ward (R-39).<br /><br />Lynda previously was elected to serve seven terms representing the people in the 108th District in the state House of Representatives. <br /><br />Lynda is a lifelong resident of Northumberland County. She has dedicated her life to serving others, including family, friends and the broader community.<br /><br />She served for more than 20 years as the staff leader in the office of former state Rep. Merle Phillips. Lynda learned during that time about the inner workings of state and local government, while she simultaneously provided timely and reliable constituent services to residents who turned to the office for help.<br /><br />Lynda has extended her dedication to service beyond her work as a state representative and senator. She also offers her time and talents to many local community organizations, including the Early Learning Investment Committee, Greater Susquehanna Valley Chamber of Commerce and Central PA Chamber of Commerce, the Community Giving Foundation, Everyone's Playground Advisory Council, the United Way of Pennsylvania and Soroptimist International. Lynda also serves as a member of the advisory board for The Salvation Army of Sunbury, as well as the Advisory Council for the Deaf and Hard of Hearing.<br /><br />Lynda is honored to have been the recipient of several different awards including: Guardian of Small Business by the National Federation of Independent Business (NFIB); the 2021 ""Advocate for Excellence"" award from the Applied Behavior Analysis (ABA) in PA Initiative to change the future for all children in Pennsylvania with Autism Spectrum Disorder; the 2020 Start Strong PA Legislative Champion Award; the 2017 Pre-K for PA Champion Award; the 2017 Distinguished Citizen Award from the Susquehanna Council of the Boy Scouts of America; the 2015 Adam Smith Distinguished Leadership Award from Economics PA; the 2014 Dan Foss Heritage Award from the Greater Susquehanna Valley Chamber of Commerce, the 2012 Charles H. Coder Leadership in Entrepreneurial Innovation Award from the Bucknell University Small Business Development Center; the 2012 Guy Temple Award from Leadership Susquehanna Valley; and the 2011 Soroptimist International Ruby Award.<br /><br />Lynda is a Shikellamy High School graduate and earned a Bachelor of Arts degree in political science with a concentration in public administration from Bloomsburg University. She also is a graduate of the Leadership Susquehanna Valley Program. <br /><br />Lynda lives in Rockefeller Township with her husband, Tom, and their dog, Rooney. They have an adult son, Joshua. The family is active at St. Matthew's Episcopal Church in Sunbury.",,,603-607 West Main Street,,"Bloomsburg, PA 17815",(570) 784-3464,10934 State Route 61,,"Mt. Carmel, PA 17851",(570) 339-5937,42 West Eighth Ave.,"Suite 3, P.O. Box 456","Shamokin Dam, PA 17876",(570) 743-1918,460 Main Capitol,,"Harrisburg, PA 171202108",(717) 787-8928,https://www.legis.state.pa.us/images/members/200/1202.jpg,,false
KRISTIN PHILLIPS-HILL,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'KRISTIN PHILLIPS-HILL'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1801'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1801,"District 28; Last Updated: Wednesday, January 11, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 28; Last Updated: Wednesday, January 11, 2023'}","Wed, 11 Jan 2023 16:55:49 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=11, tm_hour=16, tm_min=55, tm_sec=49, tm_wday=2, tm_yday=11, tm_isdst=0)",Senate_28_20230111_045549,False,28,York County (Part),R,,State Senator,,,"Kristin Phillips-Hill was elected to serve York County residents in the Pennsylvania Senate in 2018 after serving two terms in the House of Representatives.<br /><br /><br /><br />A fiscal hawk, Kristin is a strong supporter of making tax dollars more transparent and accountable to the people who pay the bills. A government watchdog publication deemed Kristin as ""exceeds expectations"" as one of four lawmakers who publicly post their Senate expenses. <br /><br /><br /><br />She sponsored six laws as a senator, ranging from significant human trafficking legislation to honoring veterans to remote learning that paved the way for continuity of education during the COVID-19 pandemic. <br /><br /><br /><br />Kristin continues to support small businesses through regulatory and tax reforms. She also sought solutions to allow locally owned businesses to open when the governor unilaterally shut them down. <br /><br /><br /><br />She chairs the Senate Communications and Technology Committee, where she has advanced an aggressive agenda to close the digital divide, as well as modernize the Commonwealth's IT infrastructure and cybersecurity. <br /><br /><br /><br />Kristin earned a bachelor's degree in political science and a master's degree in public policy from Rutgers University. <br /><br /><br /><br />Kristin resides in York Township with her husband Rick. They have three children: Victoria, Gavin and Spencer.",,,6872 Susquehanna Trail South,Post Office Box 277,"Jacobus, PA 17407",(717) 741-4648,,,,,,,,,362 Main Capitol,,"Harrisburg, PA 17120",(717) 787-7085,https://www.legis.state.pa.us/images/members/200/1801.jpg,,false
DAVID G. ARGALL,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'DAVID G. ARGALL'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=69'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=69,"District 29; Last Updated: Wednesday, December 28, 2022","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 29; Last Updated: Wednesday, December 28, 2022'}","Wed, 28 Dec 2022 12:52:44 GMT","time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=12, tm_min=52, tm_sec=44, tm_wday=2, tm_yday=362, tm_isdst=0)",Senate_29_20221228_125244,False,29,"Carbon County, Luzerne County (Part) and Schuylkill County (Part)",R,Married to Beth,Legislator/College Instructor,Arthur and Miriam (both deceased),"Tamaqua Area High School, 1976;<br />Lycoming College, B.A., Political Science and International Studies, 1980;<br />Pennsylvania State University, M.A., American Studies, 1993;<br />Pennsylvania State University, Ph.D, Public Administration, 2006.<br />","Senator David G. Argall represents the 29th District, which now includes 102 municipalities in the anthracite region including all of Schuylkill and Carbon Counties, and parts of Luzerne County including the city of Hazleton.<br /><br />The proud grandson of Cornish, Welsh, and German farmers, coal miners, and factory workers, Senator Argall's top legislative priority is revitalizing our downtowns and older industrial neighborhoods. <br /><br />Senator Argall has led successful battles to pass several new anti-blight laws.  Because of his grassroots teamwork, ""left behind"" communities across Pennsylvania, from his hometown of Tamaqua to parts of our largest cities, have witnessed a positive transformation. <br /><br />In the Senate, he chaired a bipartisan commission which unanimously recommended more than $400 million in taxpayer savings.  Senator Argall is also a leader in conservation, farmland preservation, and abandoned mine reclamation initiatives, locally as a volunteer Scout leader and as the author of legislation which has recycled more than 97 percent of Pennsylvania's waste tires.  The National Eagle Scout Association, due to his ""distinguished service to his profession and community,"" presented him with the Outstanding Eagle Scout Award. <br /><br />Senator Argall earned a bachelor's degree from Lycoming College and a Ph.D. in public administration from Penn State.  His studies included an Eisenhower Fellowship to review the economic and political transformations in Germany after the fall of the Berlin Wall.  His doctoral dissertation reviewed the benefits and drawbacks of Pennsylvania's tax-free ""Keystone Opportunity Zones"" for economic development. <br /><br />Dr. Argall has served as a part-time public policy instructor at Lycoming College, Penn State, and at Lehigh Carbon Community College, where he led the transformation of a vacant junior high school where his parents once taught into LCCC's Morgan Center. <br /><br />Senator Argall and his wife Beth are the parents of AJ and Elise, who are pursuing careers in patent law and communications. The Argalls share their Rush Township home with two very active terriers, Maggie and Wolfgang.",,,1 West Centre Street,PO Box 150,"Mahanoy City, PA 17948",(570) 773-0891,100 North Centre Street,,"Pottsville, PA 17901",(570) 621-3400,204B Bridge Street,,"Weissport, PA 18235",(610) 377-6363,177 Main Capitol,,"Harrisburg, PA 171203029",(717) 787-2637,https://www.legis.state.pa.us/images/members/200/69.jpg,,false
JUDY WARD,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'JUDY WARD'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1683'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1683,"District 30; Last Updated: Monday, February 27, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 30; Last Updated: Monday, February 27, 2023'}","Mon, 27 Feb 2023 11:58:13 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=27, tm_hour=11, tm_min=58, tm_sec=13, tm_wday=0, tm_yday=58, tm_isdst=0)",Senate_30_20230227_115813,False,30,"Blair County (Part), Fulton County, Huntingdon County (Part), Juniata County (Part) and Mifflin County (Part)",R,"Married to William T. Ward<br />Two sons, Bill Jr. and Adam",Registered Nurse,,"Hollidaysburg Area High School, 1977<br />Altoona Hospital School of Nursing, 1984","Judy Ward was elected to represent the 30th district in the Pennsylvania Senate on November 6, 2018 after serving two terms representing the interests of local communities in the Pennsylvania House of Representatives' 80th District.<br /><br />Judy is a Registered Nurse, as well as a former small business owner, development professional and wellness coordinator for Ward Transport and Logistics.<br /><br />In the Senate, Judy has authored new laws providing additional resources to support Pennsylvania farmers; allow temporary nurse aides hired during the COVID-19 emergency declaration to receive certification to continue working in the field; help community-based health centers better meet the needs of patients in underserved areas; provide a tax exemption for any improvements and new construction on blighted properties in deteriorated areas; strengthen penalties for assaults against healthcare practitioners and technicians; protect victims of domestic violence; and expand Pennsylvanians' access to psychology services.<br /><br />She also led the fight in the General Assembly to require insurance companies to cover medications and treatments prescribed to patients facing Stage IV metastatic cancer and expand fundraising options for local charities dedicated to helping individuals who have cancer or developmental disabilities.<br /><br />Judy currently serves as Chair of the Senate Aging and Youth Committee, which is responsible for reviewing legislation that affects the programs and services dedicated to senior citizens and younger Pennsylvanians. Under her leadership, the committee played a critical role in addressing flaws in the Wolf Administration's management of nursing homes during the COVID-19 pandemic.  The committee also considered legislation last year to improve newborn health screenings which was signed into law. She previously served as Chair of the Intergovernmental Operations Committee and the Urban Affairs and Housing Committee.<br /><br />She also serves as a member of the following committees: Health and Human Services as Vice Chair, Intergovernmental Operations, Law and Justice, State Government, and the Rules and Executive Nominations Committee.  She is also a member of the Advisory Council for the Hollidaysburg Veteran's Home and a member of the Blair Senior Services Advisory Council.<br /><br />In addition to her committee appointments, she also serves as Chair of the Senate Community Pharmacy Caucus and the PA Rare Disease Caucus, and as a member of the Aviation Caucus, the Brain Injury Caucus, the Broadband Caucus, the Coal Caucus, the Community College Caucus, the Cystic Fibrosis Caucus, the Early Childhood Education Caucus, the Homecare Caucus, the Hunger Caucus, the Legislative Ski Caucus, the Lyme Disease and Tick Caucus, the Manufacturing Caucus, the Oil and Gas Caucus, and the Pro-Life Caucus. She also sits on both the Joint Senate and House Prayer Caucus and Senate and House Fair Caucus.<br /><br />Her primary goals are to seek improve Pennsylvania's business climate, create jobs and to advance economic and agricultural opportunities for the 30th District.<br /><br />A lifelong resident of Blair County, Judy graduated from Hollidaysburg High School and the Altoona Hospital School of Nursing.<br /><br />She is a longtime member of the Blair County Chamber of Commerce, having graduated from the Chamber Leadership Blair County Program, and is a graduate of the Pennsylvania Rural Urban Leadership Program (R.U.L.E.) through Penn State University, which encourages and fosters the development of adult community leaders from all segments of the state, especially agricultural communities. Having served on many community and professional boards, she remains active with Food for Families Soup Kitchen.<br /><br />Judy resides in Hollidaysburg with her husband, Bill. They have two grown sons, Bill Jr. (wife Ehrin) and Adam.",,,1904 North Juniata Street,,"Hollidaysburg, PA 16648",(814) 695-8386,201 Lincoln Way West,Suite 102,"McConnellsburg, PA 17233",(717) 485-3616,(Physical Address),3 West Market Street,"Lewistown, PA 17044",(717) 210-5700,362 Main Capitol,,"Harrisburg, PA 17120",(717) 787-5490,https://www.legis.state.pa.us/images/members/200/1683.jpg,,false
MIKE REGAN,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'MIKE REGAN'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1646'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1646,"District 31; Last Updated: Monday, March 6, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 31; Last Updated: Monday, March 6, 2023'}","Mon, 06 Mar 2023 11:47:43 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=11, tm_min=47, tm_sec=43, tm_wday=0, tm_yday=65, tm_isdst=0)",Senate_31_20230306_114743,False,31,Cumberland County (Part) and York County (Part),R,"Mike is married to Fran, and they have four children.","Former U.S. Marshal, Deputy Inspector General, and State Representative",,Mike graduated from Cedar Cliff High School in 1980 and earned a Bachelor of Science degree in Crime and Justice from Albright College in 1984.,,,,1 East Harrisburg Street,,"Dillsburg, PA 17019",(717) 432-1730,,,,,,,,,171 Main Capitol,,"Harrisburg, PA 171202092",(717) 787-8524,https://www.legis.state.pa.us/images/members/200/1646.jpg,,false
PATRICK J. STEFANO,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'PATRICK J. STEFANO'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1697'}]",https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1697,"District 32; Last Updated: Thursday, January 5, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateMembers.xml', 'value': 'District 32; Last Updated: Thursday, January 5, 2023'}","Thu, 05 Jan 2023 09:20:38 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=5, tm_hour=9, tm_min=20, tm_sec=38, tm_wday=3, tm_yday=5, tm_isdst=0)",Senate_32_20230105_092038,False,32,"Bedford County, Fayette County (Part), Somerset County (Part) and Westmoreland County (Part)",R,,Printer/State Senator,,,"Senator Pat Stefano was elected to represent the 32nd Senatorial District beginning in November of 2014.<br /><br /><br /><br />He is a resident of Fayette County and a third-generation business owner of his family's company, Stefano's Printing. He has been part of the family business since the early '80s. His skills in managing budgets, controlling costs, and meeting a payroll enable him to apply the common sense and real-world experience much needed in Harrisburg.<br /><br /><br /><br />Coming from a family whose parents were teachers, he has pledged to focus on students and the classroom and will work to ensure teachers have the tools they need to succeed.<br /><br /><br /><br />Stefano has been involved with many local chambers and is a past president of the Fayette County Chamber of Commerce. He has worked county-wide, serving as a board member of the Fay-Penn Economic Development Council.<br /><br /><br /><br />Pat has dedicated himself to numerous charitable and civic causes in the community. He is a lifetime member and former Board President of the American Heart Association, where he has volunteered for more than 30 years. He has also dedicated his time to Junior Achievement, Rotary Club of Connellsville, YMCA of Laurel Highlands, Downtown Connellsville and Boy Scouts Troop 180.<br /><br /><br /><br />Senator Stefano serves as chair of the Veterans Affairs & Emergency Preparedness Committee, vice chair of the Communications and Technology Committee, and on the Aging & Youth, Appropriations, Consumer Protection & Professional Licensure, State Government and Transportation Committees.<br /><br /><br /><br />Pat and his family, along with two grandchildren, reside in the Fayette/Westmoreland area.",,,171 West Crawford Avenue,2nd Floor,"Connellsville, PA 15425",(724) 626-1611,118 West Main Street,Suite 204,"Somerset, PA 15501",(814) 443-2053,,,,,187 Main Capitol,,"Harrisburg, PA 17120",(717) 787-7175,https://www.legis.state.pa.us/images/members/200/1697.jpg,,false
